nan nan nan nan nan nan nan nan 4 1144 nan nan 
nan nan nan nan nan nan nan nan 58 1130 nan nan 
nan nan nan nan nan nan nan nan 116 1115 nan nan 
nan nan 13 609 nan nan nan nan 170 1095 nan nan 
nan nan 88 626 nan nan nan nan 222 1073 nan nan 
nan nan 156 628 nan nan nan nan 271 1054 nan nan 
nan nan 215 637 nan nan nan nan 312 1041 nan nan 
nan nan 264 633 nan nan nan nan 344 1026 nan nan 
nan nan 302 627 nan nan 18 1025 371 1016 nan nan 
nan nan 337 615 nan nan 54 1024 394 1007 nan nan 
nan nan 375 605 nan nan 92 1015 419 991 nan nan 
nan nan 410 604 nan nan 127 1005 444 971 nan nan 
2 871 451 610 nan nan 165 996 474 944 nan nan 
33 865 494 622 nan nan 202 986 507 909 1 682 
82 875 534 639 nan nan 237 979 541 870 5 694 
132 883 571 649 nan nan 273 973 569 836 23 706 
182 889 603 651 15 614 308 965 598 808 44 710 
231 891 634 649 38 622 341 955 625 782 70 709 
277 889 663 647 63 626 372 943 650 757 94 705 
317 878 688 639 87 628 399 935 672 735 113 700 
352 861 713 625 116 629 423 931 697 720 135 688 
383 839 738 609 147 629 443 925 721 709 162 667 
410 815 764 591 181 632 461 919 744 705 189 645 
435 793 790 582 215 632 477 913 771 698 215 621 
454 772 812 567 243 627 489 907 791 692 236 604 
469 754 829 557 265 622 499 901 807 687 256 586 
481 736 841 541 283 621 507 897 822 684 271 573 
493 720 850 525 300 616 515 889 834 678 284 560 
506 708 858 511 313 611 523 879 845 669 294 544 
521 700 865 494 326 605 534 866 854 656 304 531 
536 696 874 486 335 594 546 851 867 644 309 520 
550 695 879 477 340 579 556 835 874 626 314 507 
564 695 887 477 348 574 567 820 880 612 317 499 
575 696 890 470 352 564 575 806 887 598 317 491 
584 696 894 463 357 555 583 793 891 585 321 486 
591 696 897 461 358 547 588 783 899 576 320 480 
598 698 898 459 361 542 594 773 903 569 322 478 
606 702 901 458 363 538 600 764 905 562 322 475 
611 704 903 458 360 532 605 757 909 555 324 476 
613 706 905 459 364 534 607 756 911 555 326 476 
614 707 908 461 368 535 607 759 911 557 332 475 
613 710 911 462 369 540 607 766 915 566 335 478 
613 715 915 474 371 545 607 772 917 574 339 482 
615 724 921 481 377 551 609 776 922 584 342 485 
619 737 928 497 382 555 613 779 926 591 351 491 
623 750 936 506 389 560 617 782 931 599 358 495 
627 763 945 523 392 565 621 785 937 607 366 499 
629 776 952 539 399 566 622 787 941 615 372 504 
630 785 959 553 407 570 623 791 945 625 380 508 
628 794 964 559 408 574 621 795 945 636 386 507 
625 800 965 563 412 577 619 797 945 646 388 505 
622 805 963 564 413 583 617 798 942 653 389 507 
619 808 958 567 407 586 614 799 937 650 383 509 
614 808 949 565 396 586 611 799 930 645 372 517 
609 806 938 558 383 585 607 799 921 637 360 523 
603 803 925 555 369 583 601 800 910 630 346 530 
596 798 913 545 355 584 595 798 899 621 332 532 
591 795 898 536 340 583 591 794 888 610 318 532 
582 790 875 524 316 573 584 783 869 589 291 543 
578 786 865 519 304 574 580 780 858 577 283 545 
577 782 855 506 296 575 579 776 850 573 273 547 
